,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
73,317897,Bolton,Tottenham,10/03/2009 15:00:00,11,7,4,15,2-2,6,7,0,3.8,3.6,1.95,3.8,3.5,1.8,3.7,3.4,1.95,3.6,3.3,2,4,3.4,77,75,73,75,81,78,78,79,32,25.3,18,85.33,2.67,41,23.3,20,249.2,6.08
74,317898,Hull,Wigan,10/03/2009 15:00:00,19,4,10,9,2-1,7,7,0,2.88,3.3,2.5,2.6,3.25,2.45,2.7,3.25,2.5,2.6,3.2,2.6,2.88,3.3,70,72,73,73,74,74,74,74,37,26,23,75.65,2.04,35,25.4,27,73.9,2.11
75,317899,Aston Villa,Man City,10/05/2009 20:00:00,7,12,5,15,1-1,7,7,0,2.75,3.25,2.63,2.6,3.3,2.4,2.6,3.25,2.6,2.6,3.2,2.6,2.62,3.3,82,79,76,79,84,80,80,81,31,25.5,13,160.4,5.17,40,24.1,24,314.9,7.87
76,317900,Arsenal,Blackburn,10/04/2009 13:30:00,6,12,15,7,6-2,6,6,0,1.2,6.5,15,1.18,6.05,11,1.22,6,11,1.2,5.5,14,1.2,6.5,85,82,82,81,75,75,75,75,45,21.7,31,281,6.24,35,25.3,29,90.3,2.58
77,317901,Stoke,West Ham,10/17/2009 15:00:00,11,9,19,5,2-1,8,7,0,2.1,3.3,3.6,2.15,3.2,3.3,2.1,3.2,3.4,2.1,3.25,3.4,2.1,3.3,76,72,75,73,76,76,75,76,37,25.9,18,76.8,2.08,35,23.8,20,118.3,3.38
78,317902,Man Utd,Bolton,10/17/2009 15:00:00,2,19,13,8,2-1,8,7,0,1.2,5.5,13,1.2,5.75,13,1.2,6,13,1.2,5.5,14,1.2,6.5,86,81,84,82,77,75,73,75,33,25,22,362.95,11,32,25.3,18,85.33,2.67
79,317903,Fulham,Hull,10/19/2009 20:00:00,10,10,18,7,2-0,7,8,0,1.67,3.6,5.5,1.65,3.65,5,1.7,3.5,4.9,1.7,3.5,4.9,1.62,3.75,76,76,77,76,70,72,73,73,42,25.3,28,92.8,2.21,37,26,23,75.65,2.04
80,317904,Everton,Wolves,10/17/2009 15:00:00,10,13,16,7,1-1,7,8,1,1.44,4.2,6.5,1.4,4.2,7.65,1.4,4.2,8,1.45,4,7,1.5,4,80,77,79,79,75,72,69,72,42,23.1,23,221.55,5.28,37,24.1,19,59.7,1.61
81,317905,Blackburn,Burnley,10/18/2009 13:00:00,17,7,9,12,3-2,7,8,0,1.73,3.6,5,1.75,3.45,4.5,1.75,3.4,4.75,1.75,3.5,4.6,1.8,3.5,75,75,75,75,75,72,70,72,35,25.3,29,90.3,2.58,33,25,20,38.45,1.17
82,317906,Aston Villa,Chelsea,10/17/2009 12:45:00,8,13,1,21,2-1,8,8,0,4.5,3.6,1.8,4.1,3.55,1.8,4.33,3.4,1.8,4,3.4,1.85,4.5,3.5,82,79,76,79,85,84,84,83,31,25.5,13,160.4,5.17,33,25.5,24,443.9,13.45
83,317907,Sunderland,Liverpool,10/17/2009 15:00:00,8,13,6,15,1-0,8,8,0,4.2,3.4,1.91,4.65,3.6,1.7,4.1,3.4,1.85,4.6,3.5,1.75,4.5,3.5,78,77,74,75,88,82,81,82,38,24.5,26,131.7,3.47,30,24.4,24,336.6,11.22
84,317908,Wigan,Man City,10/18/2009 16:00:00,12,9,4,16,1-1,8,7,1,5,3.6,1.73,5,3.6,1.65,4.75,3.5,1.72,4.6,3.5,1.75,5,3.5,74,74,74,74,84,80,80,81,35,25.4,27,73.9,2.11,40,24.1,24,314.9,7.87
85,317909,Portsmouth,Tottenham,10/17/2009 15:00:00,20,-6,3,16,1-2,8,7,1,4.5,3.5,1.83,4.9,3.65,1.65,4.25,3.5,1.8,4.3,3.4,1.8,4.5,3.5,75,74,74,75,81,78,78,79,45,25.4,29,99.85,2.22,41,23.3,20,249.2,6.08
