,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
59,335118,Barcelona,Mallorca,11/07/2009 18:00:00,1.0,23.0,5,17.0,4-2,9,9,1.17,7.0,15.0,1.15,7.5,13.0,1.17,6.75,13.0,1.2,5.9,12.0,1.14,6.0,12.0,88,86,84,84,76,73,73,73,31,24.1,15,425.5,13.73,27,25.7,11,51.1,1.89
60,335125,Valencia,Zaragoza,11/08/2009 17:00:00,4.0,18.0,12,11.0,3-1,9,9,1.5,4.0,6.5,1.45,4.2,6.45,1.5,4.0,6.25,1.45,4.0,7.0,1.44,3.6,6.5,86,79,79,80,75,74,74,74,34,24.6,10,213.8,6.29,37,25.5,18,87.5,2.36
61,335129,Villarreal,Valladolid,11/22/2009 15:00:00,16.0,9.0,15,10.0,3-1,10,10,1.62,3.75,5.5,1.6,3.8,5.15,1.65,3.65,5.0,1.65,3.5,5.3,1.62,3.5,4.5,81,80,77,78,75,75,74,74,31,25.4,13,166.7,5.38,32,24.5,7,49.9,1.56
62,335135,Deportivo,Atletico,11/21/2009 16:00:00,5.0,19.0,18,7.0,2-1,10,10,2.5,3.3,2.75,2.6,3.4,2.7,2.45,3.25,2.75,2.4,3.2,2.85,2.25,3.2,2.75,76,76,78,76,85,81,76,79,31,25.0,8,62.5,2.02,37,23.1,16,210.4,5.69
63,335138,Athletic Club,Barcelona,11/21/2009 21:00:00,8.0,16.0,1,26.0,1-1,10,10,6.5,4.0,1.53,6.5,4.4,1.5,5.75,4.0,1.53,5.5,3.9,1.55,6.5,3.6,1.44,74,76,76,75,88,86,84,84,36,24.2,2,76.35,2.12,31,24.1,15,425.5,13.73
64,335144,Sporting Gijon,Villarreal,11/28/2009 17:00:00,7.0,17.0,11,12.0,1-0,11,11,2.75,3.3,2.5,2.75,3.4,2.35,2.75,3.3,2.45,2.7,3.2,2.5,2.5,3.2,2.5,75,73,70,73,81,80,77,78,35,24.4,3,42.7,1.22,31,25.4,13,166.7,5.38
65,335145,Getafe,Xerez,11/29/2009 15:00:00,9.0,15.0,19,7.0,5-1,11,11,1.5,4.0,6.5,1.55,3.55,6.4,1.55,3.8,6.0,1.6,3.6,5.6,1.53,3.5,5.5,78,75,76,75,73,71,70,72,29,25.4,9,73.5,2.53,26,26.5,8,32.5,1.25
66,335147,Racing Santander,Deportivo,11/29/2009 15:00:00,17.0,7.0,5,22.0,0-1,11,11,2.63,3.25,2.63,2.5,3.3,2.65,2.6,3.25,2.6,2.6,3.3,2.5,2.6,3.2,2.38,77,75,74,75,76,76,78,76,34,24.4,9,78.7,2.31,31,25.0,8,62.5,2.02
67,335148,Barcelona,Real Madrid,11/29/2009 17:00:00,2.0,27.0,1,28.0,1-0,11,11,1.85,3.6,4.0,1.8,3.6,4.0,1.85,3.5,4.0,1.85,3.4,4.0,1.8,3.3,3.75,88,86,84,84,83,85,82,83,31,24.1,15,425.5,13.73,31,24.5,16,489.4,15.79
68,335149,Almeria,Athletic Club,11/29/2009 15:00:00,13.0,12.0,8,17.0,1-4,11,11,2.2,3.3,3.25,2.25,3.3,3.0,2.25,3.3,3.0,2.3,3.3,2.9,2.2,3.2,2.8,76,74,70,74,74,76,76,75,25,25.4,13,64.4,2.58,36,24.2,2,76.35,2.12
